order_id,product_id,customer_name,quantity,unit_price,total_sales_amount,product_line,order_date,status,city,country,percentage_share_by_category,order_month,order_quarter,order_year,order_month_number,order_day_of_week
10395,S50_1514,Lyon Souveniers,45,100.0,8977.05,Trains,2005-03-17,Shipped,Paris,France,4.17,2005-03-01 00:00:00,2005-01-01 00:00:00,2005-01-01 00:00:00,3,Thursday
10350,S50_1514,Euro Shopping Channel,44,100.0,6490.88,Trains,2004-12-02,Shipped,Madrid,Spain,3.01,2004-12-01 00:00:00,2004-10-01 00:00:00,2004-01-01 00:00:00,12,Thursday
10325,S50_1514,Baane Mini Imports,44,100.0,5932.96,Trains,2004-11-05,Shipped,Stavern,Norway,2.75,2004-11-01 00:00:00,2004-10-01 00:00:00,2004-01-01 00:00:00,11,Friday
10208,S18_3259,"Saveley & Henriot, Co.",48,100.0,5614.56,Trains,2004-01-02,Shipped,Lyon,France,2.61,2004-01-01 00:00:00,2004-01-01 00:00:00,2004-01-01 00:00:00,1,Friday
10273,S18_3259,Petit Auto,47,100.0,5450.59,Trains,2004-07-21,Shipped,Bruxelles,Belgium,2.53,2004-07-01 00:00:00,2004-07-01 00:00:00,2004-01-01 00:00:00,7,Wednesday
10325,S32_3207,Baane Mini Imports,28,100.0,5377.4,Trains,2004-11-05,Shipped,Stavern,Norway,2.5,2004-11-01 00:00:00,2004-10-01 00:00:00,2004-01-01 00:00:00,11,Friday
10165,S18_3259,"Dragon Souveniers, Ltd.",50,100.0,5344.5,Trains,2003-10-22,Shipped,Singapore,Singapore,2.48,2003-10-01 00:00:00,2003-10-01 00:00:00,2003-01-01 00:00:00,10,Wednesday
10128,S18_3259,Euro Shopping Channel,41,100.0,4837.18,Trains,2003-06-06,Shipped,Madrid,Spain,2.25,2003-06-01 00:00:00,2003-04-01 00:00:00,2003-01-01 00:00:00,6,Friday
10232,S18_3259,giftsbymail.co.uk,48,95.8,4598.4,Trains,2004-03-20,Shipped,Cowes,UK,2.14,2004-03-01 00:00:00,2004-01-01 00:00:00,2004-01-01 00:00:00,3,Saturday
10350,S32_3207,Euro Shopping Channel,27,100.0,4406.4,Trains,2004-12-02,Shipped,Madrid,Spain,2.05,2004-12-01 00:00:00,2004-10-01 00:00:00,2004-01-01 00:00:00,12,Thursday
10105,S18_3259,Danish Wholesale Imports,38,100.0,4330.1,Trains,2003-02-11,Shipped,Kobenhavn,Denmark,2.01,2003-02-01 00:00:00,2003-01-01 00:00:00,2003-01-01 00:00:00,2,Tuesday
10359,S32_3207,Reims Collectables,22,100.0,4301.22,Trains,2004-12-15,Shipped,Reims,France,2.0,2004-12-01 00:00:00,2004-10-01 00:00:00,2004-01-01 00:00:00,12,Wednesday
10282,S18_3259,Mini Gifts Distributors Ltd.,36,100.0,4174.92,Trains,2004-08-20,Shipped,San Rafael,USA,1.94,2004-08-01 00:00:00,2004-07-01 00:00:00,2004-01-01 00:00:00,8,Friday
10185,S18_3259,Mini Creations Ltd.,49,80.67,3952.83,Trains,2003-11-14,Shipped,New Bedford,USA,1.84,2003-11-01 00:00:00,2003-10-01 00:00:00,2003-01-01 00:00:00,11,Friday
10326,S18_3259,"Volvo Model Replicas, Co",32,100.0,3807.68,Trains,2004-11-09,Shipped,Lule,Sweden,1.77,2004-11-01 00:00:00,2004-10-01 00:00:00,2004-01-01 00:00:00,11,Tuesday
10350,S18_3259,Euro Shopping Channel,41,93.04,3814.64,Trains,2004-12-02,Shipped,Madrid,Spain,1.77,2004-12-01 00:00:00,2004-10-01 00:00:00,2004-01-01 00:00:00,12,Thursday
10306,S18_3259,"AV Stores, Co.",40,91.76,3670.4,Trains,2004-10-14,Shipped,Manchester,UK,1.7,2004-10-01 00:00:00,2004-10-01 00:00:00,2004-01-01 00:00:00,10,Thursday
10196,S18_3259,Super Scale Inc.,35,100.0,3564.75,Trains,2003-11-26,Shipped,New Haven,USA,1.66,2003-11-01 00:00:00,2003-10-01 00:00:00,2003-01-01 00:00:00,11,Wednesday
10383,S18_3259,Euro Shopping Channel,26,100.0,3340.48,Trains,2005-02-22,Shipped,Madrid,Spain,1.55,2005-02-01 00:00:00,2005-01-01 00:00:00,2005-01-01 00:00:00,2,Tuesday
